Product Name,Maker,Color,Model,Category,Balance Qty,Minimum Qty,Discount %
UNIT IC -- LED APPLE IPHONE XS MAX BLACK,APPLE,BLACK,IPHONE XS MAX,LED,1,1,0
TOUCH GLASS HUAWEI Y5-2 BLACK,HUAWEI,BLACK,Y5-2,TOUCH GLASS,627,5,0
TOUCH GLASS HUAWEI Y5-2 GOLD,HUAWEI,GOLD,Y5-2,TOUCH GLASS,951,5,0
TOUCH GLASS HUAWEI Y5-2 WHITE,HUAWEI,WHITE,Y5-2,TOUCH GLASS,869,5,0
UNIT -- LCD INFINIX X680 BLACK,INFINIX,BLACK,X680,LCD,134,1,0
TOUCH GLASS HUAWEI HONOR 9 LITE BLACK,HUAWEI,BLACK,HONOR 9 LITE,TOUCH GLASS,504,5,0
TOUCH GLASS HUAWEI Y6 2018/7A WHITE,HUAWEI,WHITE,Y6 2018/7A,TOUCH GLASS,579,5,0
BATTERY SAM A10S,SAM,,A10S,BATTERY,142,1,0
BATTERY INFINIX X650,INFINIX,,X650,BATTERY,861,1,0
BATTERY INFINIX X690,INFINIX,,X690,BATTERY,163,1,0
BATTERY VIVO Y71,VIVO,,Y71,BATTERY,68,1,0
UNIT COMP -- LED SAM A30 BLACK,SAM,BLACK,A30,LED,0,1,0
UNIT -- LCD HUAWEI Y6 PRIME 2020 BLACK,HUAWEI,BLACK,Y6 PRIME 2020,LCD,179,1,0
BATTERY SAM A750,SAM,,A750,BATTERY,65,1,0
BATTERY SAM A30S,SAM,,A30S,BATTERY,51,1,0
BATTERY OPPO F7,OPPO,,F7,BATTERY,153,1,0
BATTERY SAM A71,SAM,,A71,BATTERY,91,1,0
BATTERY VIVO V9,VIVO,,V9,BATTERY,56,1,0
BQ -- LCD OPPO A5S/A7 BLACK,OPPO,BLACK,A5S/A7,LCD,0,1,0
BQ -- LCD VIVO Y3-Y11-Y12-Y15-Y17 BLACK,VIVO,BLACK,Y3-Y11-Y12-Y15-Y17,LCD,0,1,0
BATTERY INFINIX X626,INFINIX,,X626,BATTERY,55,1,0
BATTERY INFINIX X627,INFINIX,,X627,BATTERY,14,1,0
BQ -- LCD VIVO Y95 Y93 Y91 BLACK,VIVO,BLACK,Y95 Y93 Y91,LCD,0,1,0
UNIT -- LCD HUAWEI Y7 PRIME 2020 BLACK,HUAWEI,BLACK,Y7 PRIME 2020,LCD,80,1,0
UNIT -- LCD VIVO Y30 BLACK,VIVO,BLACK,Y30,LCD,2,1,0
UNIT -- LCD VIVO Y20 BLACK,VIVO,BLACK,Y20,LCD,0,1,0
BQ -- LCD SAM A10S BLACK,SAM,BLACK,A10S,LCD,678,1,0
BQ -- LCD OPPO F5 BLACK,OPPO,BLACK,F5,LCD,0,1,0
BQ -- LCD HUAWEI Y7 2019 BLACK,HUAWEI,BLACK,Y7 2019,LCD,0,1,0
TOOLS BEST-ON OCA MACHINE 888,BEST-ON,,OCA MACHINE 888,TOOLS,5,1,0
UNIT INCELL -- LCD APPLE IPHONE XS MAX BLACK,APPLE,BLACK,IPHONE XS MAX,LCD,0,1,0
BQ -- LCD OPPO A3S BLACK,OPPO,BLACK,A3S,LCD,0,1,0
